"","months_as_customer","age","policy_state","policy_csl","policy_deductable","policy_annual_premium","umbrella_limit","insured_sex","insured_education_level","insured_occupation","insured_hobbies","insured_relationship","capital.gains","capital.loss","incident_type","collision_type","incident_severity","authorities_contacted","incident_state","incident_city","incident_hour_of_the_day","number_of_vehicles_involved","property_damage","bodily_injuries","witnesses","police_report_available","total_claim_amount","injury_claim","property_claim","vehicle_claim","auto_make","auto_model","auto_year","fraud_reported"
"297",231,43,"IL","250/500",2000,972.47,0,"MALE","College","protective-serv","reading","wife",0,-58100,"Multi-vehicle Collision","Front Collision","Minor Damage","Police","PA","Hillsdale",15,3,"YES",2,2,"YES",77100,7710,15420,53970,"Audi","A3",2010,"N"
"299",194,35,"IL","500/1000",500,1416.24,0,"FEMALE","MD","adm-clerical","golf","not-in-family",0,0,"Parked Car","?","Minor Damage","None","WV","Northbend",7,1,"YES",1,0,"?",5940,1080,540,4320,"Nissan","Pathfinder",2003,"N"
"301",259,43,"IL","100/300",500,947.75,0,"FEMALE","Masters","farming-fishing","base-jumping","not-in-family",0,-39300,"Vehicle Theft","?","Trivial Damage","Police","SC","Riverwood",15,1,"NO",1,3,"NO",7680,1280,640,5760,"Audi","A5",2008,"N"
"302",107,31,"IL","100/300",2000,1018.73,5000000,"MALE","Associate","handlers-cleaners","yachting","own-child",20000,-82700,"Multi-vehicle Collision","Side Collision","Total Loss","Police","NY","Riverwood",21,3,"YES",1,2,"?",93730,14420,21630,57680,"Honda","CRV",2001,"N"
"303",48,44,"IL","100/300",2000,1400.74,0,"MALE","College","sales","base-jumping","other-relative",34000,-55600,"Multi-vehicle Collision","Rear Collision","Major Damage","Police","NC","Arlington",23,3,"YES",0,2,"?",87300,17460,17460,52380,"Jeep","Wrangler",2013,"N"
"306",175,34,"OH","100/300",500,915.29,0,"FEMALE","JD","handlers-cleaners","base-jumping","wife",82400,-57100,"Single Vehicle Collision","Front Collision","Major Damage","Other","NY","Arlington",14,1,"?",2,1,"YES",36720,4080,4080,28560,"Honda","Accord",2009,"Y"
"307",111,29,"IL","250/500",500,1239.55,2000000,"FEMALE","PhD","farming-fishing","kayaking","own-child",0,0,"Single Vehicle Collision","Side Collision","Major Damage","Fire","SC","Riverwood",1,1,"?",1,1,"YES",52800,4800,9600,38400,"Mercedes","ML350",1996,"Y"
"308",151,37,"IN","250/500",500,1366.42,0,"FEMALE","Associate","protective-serv","cross-fit","unmarried",44000,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Fire","SC","Arlington",14,3,"NO",1,2,"YES",59100,5910,5910,47280,"Nissan","Maxima",1998,"Y"
"309",156,37,"OH","500/1000",1000,1086.48,6000000,"MALE","Associate","machine-op-inspct","hiking","unmarried",0,-53800,"Multi-vehicle Collision","Rear Collision","Total Loss","Other","NY","Northbrook",17,3,"?",1,1,"YES",77440,14080,7040,56320,"Suburu","Legacy",1999,"N"
"311",253,41,"OH","100/300",2000,1312.75,0,"FEMALE","PhD","sales","dancing","other-relative",81300,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Other","SC","Springfield",10,3,"NO",2,2,"YES",80740,7340,14680,58720,"Toyota","Camry",2014,"Y"
"312",10,26,"IN","100/300",2000,765.64,0,"MALE","MD","sales","base-jumping","not-in-family",0,-22200,"Multi-vehicle Collision","Front Collision","Major Damage","Ambulance","SC","Northbrook",3,3,"?",0,3,"?",31350,2850,5700,22800,"Honda","Accord",2001,"Y"
"313",158,33,"OH","100/300",2000,1327.41,0,"FEMALE","Associate","handlers-cleaners","skydiving","other-relative",0,-38600,"Single Vehicle Collision","Side Collision","Total Loss","Other","SC","Hillsdale",0,1,"?",0,0,"?",35000,3500,7000,24500,"Suburu","Legacy",2012,"N"
"314",436,59,"OH","500/1000",1000,1338.55,0,"MALE","PhD","protective-serv","board-games","own-child",39000,0,"Multi-vehicle Collision","Side Collision","Total Loss","Police","WV","Hillsdale",10,3,"?",2,2,"NO",68000,13600,6800,47600,"Toyota","Corolla",2014,"N"
"315",91,30,"IL","250/500",2000,1316.63,8000000,"FEMALE","Masters","machine-op-inspct","golf","unmarried",43900,0,"Multi-vehicle Collision","Side Collision","Minor Damage","Other","SC","Northbend",13,3,"YES",2,0,"?",84500,13000,13000,58500,"BMW","X6",2009,"N"
"316",256,42,"IL","500/1000",1000,1286.44,0,"FEMALE","MD","transport-moving","bungie-jumping","wife",0,-39500,"Single Vehicle Collision","Rear Collision","Minor Damage","Police","WV","Northbend",14,1,"NO",2,1,"?",75500,7550,15100,52850,"Nissan","Ultima",1998,"N"
"318",275,45,"IN","500/1000",2000,1447.77,0,"FEMALE","Associate","adm-clerical","camping","wife",39400,-63900,"Multi-vehicle Collision","Side Collision","Total Loss","Ambulance","VA","Northbend",8,3,"YES",1,1,"?",64320,5360,10720,48240,"Accura","MDX",1998,"N"
"319",1,33,"IL","250/500",500,903.32,0,"FEMALE","High School","transport-moving","yachting","not-in-family",0,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Police","NY","Northbend",1,3,"?",1,0,"?",31700,6340,3170,22190,"Toyota","Highlander",2006,"N"
"320",85,30,"IN","500/1000",1000,1454.42,0,"MALE","Associate","protective-serv","reading","other-relative",51600,-73900,"Single Vehicle Collision","Side Collision","Major Damage","Other","NY","Springfield",19,1,"YES",0,1,"YES",74280,12380,12380,49520,"Suburu","Forrestor",2006,"Y"
"321",233,37,"IL","100/300",2000,1603.42,0,"FEMALE","High School","sales","video-games","wife",61600,-30200,"Single Vehicle Collision","Front Collision","Total Loss","Fire","NY","Columbus",17,1,"YES",0,2,"YES",80520,13420,6710,60390,"Toyota","Corolla",2005,"N"
"326",399,55,"IL","500/1000",2000,995.56,0,"MALE","JD","tech-support","sleeping","not-in-family",0,-65400,"Multi-vehicle Collision","Side Collision","Total Loss","Police","NY","Northbend",23,3,"YES",1,1,"YES",88400,17680,8840,61880,"Nissan","Pathfinder",2010,"N"
"327",305,49,"IL","100/300",2000,1347.92,0,"FEMALE","High School","farming-fishing","bungie-jumping","own-child",0,-42100,"Multi-vehicle Collision","Front Collision","Total Loss","Fire","NY","Hillsdale",21,3,"YES",0,2,"?",66550,12100,6050,48400,"Volkswagen","Jetta",2003,"N"
"329",257,40,"IN","250/500",500,1379.93,0,"MALE","MD","armed-forces","base-jumping","husband",0,0,"Multi-vehicle Collision","Side Collision","Major Damage","Other","NY","Columbus",6,3,"?",0,2,"YES",51810,9420,4710,37680,"Audi","A3",2002,"Y"
"330",78,31,"IN","250/500",1000,1554.64,4000000,"MALE","PhD","protective-serv","board-games","own-child",0,-27900,"Single Vehicle Collision","Front Collision","Major Damage","Other","WV","Springfield",21,1,"NO",1,0,"NO",55660,5060,10120,40480,"Honda","CRV",2009,"Y"
"331",129,28,"OH","500/1000",1000,1377.94,0,"MALE","Masters","machine-op-inspct","base-jumping","not-in-family",0,0,"Single Vehicle Collision","Side Collision","Major Damage","Fire","NY","Springfield",23,1,"?",2,3,"?",44640,9920,4960,29760,"Toyota","Camry",2005,"N"
"333",85,25,"IN","250/500",500,1259.02,0,"FEMALE","JD","tech-support","base-jumping","unmarried",67000,-53600,"Parked Car","?","Trivial Damage","None","SC","Northbend",8,1,"NO",2,2,"?",5640,940,940,3760,"Nissan","Ultima",2005,"N"
"335",96,30,"OH","100/300",500,1399.27,6000000,"MALE","College","prof-specialty","hiking","wife",38900,-48700,"Single Vehicle Collision","Side Collision","Total Loss","Fire","NC","Arlington",22,1,"?",0,0,"YES",53440,0,6680,46760,"Ford","Escape",2004,"N"
"336",121,31,"IL","500/1000",1000,1061.98,6000000,"FEMALE","JD","armed-forces","camping","unmarried",0,0,"Single Vehicle Collision","Rear Collision","Minor Damage","Police","WV","Hillsdale",16,1,"NO",0,1,"YES",65250,7250,7250,50750,"BMW","3 Series",2002,"N"
"337",176,39,"OH","250/500",500,1365.46,4000000,"MALE","College","armed-forces","sleeping","unmarried",0,-56600,"Multi-vehicle Collision","Side Collision","Minor Damage","Fire","SC","Columbus",14,3,"NO",2,1,"NO",44280,4920,4920,34440,"Chevrolet","Silverado",2008,"N"
"340",212,35,"IN","500/1000",2000,1123.89,0,"MALE","MD","priv-house-serv","video-games","unmarried",35400,-49200,"Multi-vehicle Collision","Front Collision","Total Loss","Fire","NY","Columbus",0,3,"?",1,3,"?",50380,4580,4580,41220,"Suburu","Forrestor",1996,"N"
"341",290,45,"IL","100/300",500,1085.03,0,"FEMALE","JD","sales","cross-fit","wife",0,-61000,"Multi-vehicle Collision","Side Collision","Total Loss","Police","VA","Arlington",23,3,"YES",2,2,"NO",64800,12960,6480,45360,"Audi","A3",2014,"Y"
"342",299,42,"OH","100/300",2000,1437.33,0,"FEMALE","Associate","craft-repair","movies","wife",25000,0,"Single Vehicle Collision","Rear Collision","Minor Damage","Other","SC","Columbus",13,1,"YES",1,3,"NO",70400,12800,12800,44800,"BMW","3 Series",2000,"N"
"343",66,26,"IL","250/500",1000,988.29,0,"MALE","College","armed-forces","skydiving","own-child",0,0,"Single Vehicle Collision","Rear Collision","Major Damage","Police","NY","Northbend",8,1,"?",2,2,"YES",57860,0,10520,47340,"Suburu","Impreza",2008,"Y"
"345",216,38,"IN","100/300",1000,1384.64,5000000,"FEMALE","Associate","tech-support","board-games","unmarried",0,0,"Single Vehicle Collision","Rear Collision","Total Loss","Police","VA","Columbus",16,1,"?",2,3,"NO",66600,16650,11100,38850,"Jeep","Grand Cherokee",2012,"Y"
"346",86,28,"IN","100/300",2000,1595.07,0,"MALE","PhD","transport-moving","hiking","unmarried",75800,0,"Single Vehicle Collision","Side Collision","Minor Damage","Police","VA","Hillsdale",19,1,"YES",0,2,"YES",70920,11820,11820,47280,"Jeep","Wrangler",2002,"N"
"347",429,56,"OH","250/500",1000,1127.89,6000000,"MALE","Associate","machine-op-inspct","skydiving","own-child",67400,-43800,"Single Vehicle Collision","Rear Collision","Minor Damage","Ambulance","WV","Springfield",0,1,"YES",2,0,"YES",39480,6580,6580,26320,"Suburu","Forrestor",2002,"N"
"348",257,43,"IN","500/1000",2000,929.7,6000000,"FEMALE","PhD","handlers-cleaners","base-jumping","husband",46400,-74300,"Single Vehicle Collision","Front Collision","Total Loss","Other","VA","Arlington",12,1,"?",2,2,"YES",63240,10540,5270,47430,"Mercedes","E400",2005,"N"
"349",15,34,"IL","100/300",1000,1829.63,0,"MALE","JD","tech-support","cross-fit","not-in-family",56700,0,"Multi-vehicle Collision","Side Collision","Total Loss","Other","SC","Arlington",21,3,"YES",1,0,"?",67650,12300,6150,49200,"Audi","A5",2009,"N"
"350",230,39,"IL","100/300",1000,904.7,7000000,"FEMALE","MD","craft-repair","bungie-jumping","unmarried",68600,-22300,"Single Vehicle Collision","Front Collision","Major Damage","Fire","SC","Riverwood",0,1,"?",1,3,"NO",74200,14840,14840,44520,"Accura","TL",2002,"Y"
"352",270,44,"IL","500/1000",2000,1030.95,0,"FEMALE","Associate","machine-op-inspct","paintball","other-relative",47200,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Ambulance","NC","Northbend",20,3,"?",1,0,"NO",35900,7180,3590,25130,"Audi","A3",2007,"Y"
"353",65,26,"IN","100/300",500,1285.03,3000000,"FEMALE","High School","craft-repair","camping","unmarried",0,-41500,"Single Vehicle Collision","Rear Collision","Minor Damage","Fire","VA","Riverwood",0,1,"NO",1,3,"?",52200,5220,10440,36540,"Honda","CRV",2011,"N"
"354",475,57,"OH","100/300",500,1216.56,0,"MALE","Masters","adm-clerical","skydiving","own-child",67400,-83200,"Single Vehicle Collision","Front Collision","Minor Damage","Police","SC","Hillsdale",20,1,"?",0,2,"NO",78000,6500,13000,58500,"Suburu","Forrestor",2000,"N"
"355",77,27,"IN","500/1000",2000,966.26,0,"FEMALE","High School","adm-clerical","base-jumping","own-child",56400,-32800,"Multi-vehicle Collision","Front Collision","Minor Damage","Ambulance","NY","Springfield",1,3,"YES",0,0,"?",67200,6720,6720,53760,"Volkswagen","Passat",1995,"N"
"360",292,44,"OH","500/1000",500,1097.57,0,"MALE","PhD","priv-house-serv","basketball","unmarried",0,0,"Single Vehicle Collision","Side Collision","Total Loss","Other","SC","Columbus",12,1,"NO",1,0,"YES",61700,6170,6170,49360,"Saab","93",2005,"N"
"361",451,61,"IN","250/500",2000,1618.65,2000000,"FEMALE","Associate","transport-moving","polo","unmarried",0,-42600,"Multi-vehicle Collision","Rear Collision","Major Damage","Ambulance","OH","Columbus",3,3,"YES",2,1,"YES",78100,15620,7810,54670,"Chevrolet","Tahoe",1997,"Y"
"363",150,30,"IN","100/300",1000,1342.02,0,"MALE","MD","prof-specialty","polo","own-child",0,0,"Parked Car","?","Trivial Damage","None","VA","Arlington",8,1,"YES",0,2,"NO",4500,450,450,3600,"Saab","93",1999,"N"
"364",283,41,"OH","100/300",500,1195.01,0,"FEMALE","Associate","sales","reading","own-child",60700,-54300,"Multi-vehicle Collision","Side Collision","Major Damage","Other","WV","Northbend",13,3,"NO",0,2,"?",42700,0,6100,36600,"Mercedes","ML350",2011,"Y"
"365",291,46,"OH","500/1000",1000,994.74,0,"FEMALE","High School","adm-clerical","polo","own-child",0,-55300,"Parked Car","?","Minor Damage","Police","SC","Hillsdale",8,1,"NO",2,2,"YES",5580,620,620,4340,"Volkswagen","Passat",2005,"Y"
"367",154,36,"IL","250/500",2000,1313.51,7000000,"FEMALE","Masters","exec-managerial","dancing","own-child",68500,0,"Vehicle Theft","?","Trivial Damage","None","SC","Northbrook",9,1,"?",2,0,"?",2800,280,280,2240,"Volkswagen","Passat",2015,"N"
"369",10,19,"IN","250/500",1000,1185.78,0,"FEMALE","JD","craft-repair","yachting","wife",0,-60700,"Single Vehicle Collision","Side Collision","Minor Damage","Police","NC","Northbend",5,1,"?",0,2,"?",48950,4450,8900,35600,"Accura","TL",2011,"Y"
"370",309,47,"IL","500/1000",500,1527.95,0,"MALE","PhD","exec-managerial","hiking","other-relative",69400,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Other","WV","Northbend",15,4,"YES",0,1,"?",77800,15560,15560,46680,"Dodge","RAM",2002,"N"
"371",396,57,"IN","100/300",1000,1366.39,0,"MALE","High School","protective-serv","exercise","other-relative",0,-22400,"Multi-vehicle Collision","Front Collision","Major Damage","Other","NC","Columbus",22,3,"YES",2,1,"NO",52560,11680,5840,35040,"Saab","93",1995,"N"
"374",140,31,"OH","250/500",2000,1554.86,6000000,"FEMALE","JD","armed-forces","base-jumping","wife",59000,0,"Parked Car","?","Minor Damage","None","WV","Arlington",2,1,"YES",1,2,"?",6120,680,680,4760,"Honda","Civic",2002,"Y"
"375",419,53,"IL","500/1000",2000,736.07,6000000,"MALE","College","transport-moving","chess","unmarried",45700,0,"Multi-vehicle Collision","Side Collision","Minor Damage","Police","SC","Northbend",17,4,"?",0,0,"YES",62280,5190,10380,46710,"Suburu","Forrestor",2012,"N"
"376",315,44,"IL","250/500",1000,974.16,6000000,"FEMALE","Masters","sales","reading","other-relative",0,-56800,"Multi-vehicle Collision","Front Collision","Total Loss","Other","NY","Springfield",12,3,"?",1,0,"YES",26730,4860,4860,17010,"Volkswagen","Jetta",2006,"N"
"377",72,29,"OH","500/1000",500,973.8,0,"FEMALE","Associate","craft-repair","exercise","own-child",0,-85900,"Single Vehicle Collision","Rear Collision","Major Damage","Ambulance","WV","Arlington",9,1,"?",1,0,"NO",66200,6620,6620,52960,"Dodge","Neon",2013,"N"
"379",230,41,"IN","100/300",1000,1464.03,0,"MALE","JD","transport-moving","sleeping","own-child",0,0,"Multi-vehicle Collision","Side Collision","Minor Damage","Ambulance","NY","Springfield",19,3,"?",2,0,"?",53040,4420,4420,44200,"Audi","A3",2006,"N"
"380",157,32,"OH","100/300",2000,617.11,0,"MALE","College","other-service","reading","other-relative",0,-54100,"Multi-vehicle Collision","Front Collision","Major Damage","Other","VA","Columbus",14,3,"?",1,2,"NO",50800,10160,5080,35560,"Mercedes","E400",2013,"Y"
"381",265,41,"IN","250/500",2000,1724.46,6000000,"FEMALE","Associate","craft-repair","sleeping","own-child",81800,0,"Multi-vehicle Collision","Side Collision","Total Loss","Police","SC","Northbend",18,3,"?",1,3,"?",44200,4420,4420,35360,"Audi","A5",2014,"N"
"382",47,34,"IL","500/1000",500,1161.31,0,"FEMALE","PhD","exec-managerial","base-jumping","other-relative",64800,-24300,"Single Vehicle Collision","Front Collision","Minor Damage","Police","SC","Springfield",23,1,"YES",1,3,"?",62920,11440,5720,45760,"Chevrolet","Malibu",2012,"N"
"383",113,29,"OH","250/500",2000,1091.73,0,"MALE","PhD","exec-managerial","golf","not-in-family",36100,-42300,"Multi-vehicle Collision","Rear Collision","Minor Damage","Other","NY","Springfield",15,3,"?",0,2,"YES",49950,5550,5550,38850,"Nissan","Ultima",2004,"Y"
"384",289,46,"IL","250/500",2000,1209.07,0,"MALE","JD","armed-forces","chess","unmarried",0,0,"Single Vehicle Collision","Rear Collision","Minor Damage","Ambulance","NC","Arlington",18,1,"YES",0,1,"YES",56430,6270,6270,43890,"BMW","3 Series",1995,"Y"
"386",115,30,"OH","500/1000",500,1757.21,0,"MALE","High School","prof-specialty","base-jumping","wife",46400,0,"Multi-vehicle Collision","Front Collision","Minor Damage","Fire","NY","Northbend",12,3,"NO",1,0,"YES",49140,5460,5460,38220,"Ford","F150",2007,"N"
"387",236,38,"OH","250/500",1000,802.24,0,"FEMALE","College","other-service","paintball","not-in-family",0,-62500,"Single Vehicle Collision","Side Collision","Major Damage","Ambulance","WV","Northbrook",16,1,"NO",0,1,"?",66840,16710,5570,44560,"Mercedes","E400",2014,"N"
"388",7,21,"IN","500/1000",1000,1342.72,0,"MALE","Associate","machine-op-inspct","camping","wife",0,-45300,"Single Vehicle Collision","Front Collision","Total Loss","Other","NY","Hillsdale",21,1,"?",1,2,"?",62460,6940,6940,48580,"Honda","Accord",2003,"N"
"389",208,36,"OH","100/300",2000,1209.41,5000000,"MALE","JD","machine-op-inspct","base-jumping","wife",0,0,"Multi-vehicle Collision","Side Collision","Total Loss","Other","NY","Columbus",15,3,"YES",0,1,"?",62810,11420,11420,39970,"Nissan","Ultima",1999,"N"
"394",406,58,"OH","250/500",2000,1117.04,0,"MALE","MD","exec-managerial","video-games","own-child",0,-42700,"Multi-vehicle Collision","Front Collision","Total Loss","Other","WV","Northbend",15,3,"?",1,2,"?",65520,10920,5460,49140,"Volkswagen","Jetta",2009,"N"
"395",157,31,"IN","500/1000",500,1257.83,7000000,"MALE","High School","farming-fishing","reading","own-child",40700,-41600,"Multi-vehicle Collision","Rear Collision","Major Damage","Other","OH","Arlington",2,4,"NO",2,2,"NO",47700,4770,9540,33390,"Accura","TL",2011,"Y"
"397",409,57,"IN","100/300",1000,1191.8,6000000,"MALE","High School","protective-serv","exercise","unmarried",55600,0,"Single Vehicle Collision","Side Collision","Major Damage","Other","NY","Riverwood",19,1,"NO",1,0,"?",73320,6110,12220,54990,"Ford","Fusion",2012,"N"
"398",252,46,"IN","100/300",1000,1242.02,0,"MALE","Masters","adm-clerical","dancing","wife",0,-28800,"Single Vehicle Collision","Front Collision","Minor Damage","Fire","VA","Hillsdale",17,1,"YES",0,2,"YES",74900,14980,7490,52430,"Jeep","Grand Cherokee",2003,"N"
"399",6,27,"OH","250/500",500,1075.71,0,"FEMALE","High School","prof-specialty","dancing","unmarried",0,-47400,"Vehicle Theft","?","Trivial Damage","Police","WV","Columbus",7,1,"?",0,1,"YES",3190,580,290,2320,"Saab","95",2015,"N"
"401",369,53,"OH","250/500",2000,1459.93,0,"FEMALE","Masters","priv-house-serv","video-games","not-in-family",0,0,"Multi-vehicle Collision","Front Collision","Total Loss","Police","WV","Springfield",10,2,"YES",1,3,"NO",77990,7090,14180,56720,"Jeep","Wrangler",2012,"N"
"403",159,33,"IN","100/300",2000,1462.76,0,"FEMALE","College","craft-repair","skydiving","husband",69200,-36900,"Multi-vehicle Collision","Rear Collision","Major Damage","Ambulance","NY","Columbus",23,3,"YES",2,0,"NO",44880,8160,4080,32640,"Mercedes","C300",2004,"Y"
"404",344,51,"IN","100/300",2000,1398.46,0,"MALE","Associate","sales","skydiving","other-relative",0,0,"Single Vehicle Collision","Side Collision","Minor Damage","Ambulance","NC","Northbend",14,1,"?",0,2,"NO",82830,7530,15060,60240,"Audi","A5",2004,"N"
"405",437,60,"OH","500/1000",1000,1269.64,0,"FEMALE","College","armed-forces","cross-fit","unmarried",48800,0,"Single Vehicle Collision","Front Collision","Minor Damage","Other","SC","Riverwood",10,1,"NO",1,3,"NO",84480,7680,15360,61440,"Chevrolet","Silverado",2012,"Y"
"408",269,45,"IN","500/1000",500,1330.46,0,"FEMALE","High School","machine-op-inspct","sleeping","wife",54800,-64100,"Multi-vehicle Collision","Side Collision","Total Loss","Police","VA","Hillsdale",5,3,"?",0,0,"NO",24200,2200,4400,17600,"Suburu","Forrestor",2008,"N"
"409",275,40,"OH","250/500",2000,1190.6,0,"MALE","Masters","exec-managerial","camping","unmarried",0,-45300,"Single Vehicle Collision","Rear Collision","Minor Damage","Fire","OH","Riverwood",17,1,"?",1,3,"YES",43230,7860,7860,27510,"Chevrolet","Silverado",2001,"N"
"410",265,45,"OH","250/500",500,972.5,0,"FEMALE","College","exec-managerial","cross-fit","unmarried",0,0,"Vehicle Theft","?","Trivial Damage","None","NC","Springfield",3,1,"NO",2,3,"NO",3190,290,580,2320,"Ford","Escape",1995,"N"
"411",283,43,"IN","100/300",2000,1161.91,0,"FEMALE","Associate","adm-clerical","polo","not-in-family",0,-50400,"Parked Car","?","Minor Damage","None","WV","Northbrook",9,1,"?",0,3,"NO",5850,1300,650,3900,"BMW","M5",2006,"N"
"413",247,44,"OH","250/500",2000,1101.51,0,"FEMALE","College","farming-fishing","camping","not-in-family",64000,0,"Multi-vehicle Collision","Front Collision","Minor Damage","Fire","NY","Riverwood",22,3,"NO",2,2,"NO",69480,11580,11580,46320,"Chevrolet","Tahoe",2008,"N"
"414",56,29,"IL","100/300",1000,1523.17,0,"MALE","Masters","prof-specialty","movies","own-child",0,0,"Multi-vehicle Collision","Front Collision","Major Damage","Fire","PA","Northbend",10,3,"?",1,2,"YES",94560,7880,15760,70920,"Jeep","Grand Cherokee",1995,"N"
"415",210,39,"OH","500/1000",1000,984.45,0,"MALE","Associate","armed-forces","paintball","unmarried",0,0,"Vehicle Theft","?","Minor Damage","None","NC","Riverwood",4,1,"YES",1,2,"?",7800,780,780,6240,"Dodge","RAM",1997,"N"
"416",108,32,"OH","500/1000",2000,1257,4000000,"FEMALE","High School","machine-op-inspct","basketball","unmarried",63900,-43700,"Single Vehicle Collision","Front Collision","Total Loss","Other","WV","Northbrook",23,1,"NO",1,3,"NO",61270,5570,11140,44560,"Suburu","Legacy",1999,"N"
"417",328,49,"OH","500/1000",500,1434.51,0,"FEMALE","Masters","transport-moving","bungie-jumping","wife",0,0,"Single Vehicle Collision","Rear Collision","Total Loss","Police","NY","Riverwood",19,1,"?",0,2,"YES",71440,8930,8930,53580,"Mercedes","ML350",2005,"N"
"418",186,37,"OH","250/500",2000,1628,0,"FEMALE","JD","priv-house-serv","exercise","unmarried",0,0,"Single Vehicle Collision","Rear Collision","Total Loss","Ambulance","NY","Hillsdale",22,1,"YES",1,2,"YES",55600,11120,5560,38920,"Jeep","Grand Cherokee",2009,"N"
"420",138,33,"IL","250/500",500,1362.87,5000000,"FEMALE","JD","exec-managerial","paintball","own-child",56900,-56900,"Single Vehicle Collision","Side Collision","Minor Damage","Other","NY","Springfield",6,1,"NO",2,0,"?",95810,14740,14740,66330,"BMW","X5",2007,"N"
"421",208,41,"IN","100/300",1000,1134.68,0,"FEMALE","College","tech-support","chess","husband",0,0,"Single Vehicle Collision","Rear Collision","Major Damage","Ambulance","SC","Northbend",18,1,"NO",2,2,"?",69300,6930,13860,48510,"Volkswagen","Jetta",1996,"N"
"422",147,37,"IN","250/500",1000,1306.78,0,"MALE","MD","prof-specialty","video-games","other-relative",0,0,"Single Vehicle Collision","Front Collision","Total Loss","Ambulance","SC","Northbend",22,1,"?",1,0,"NO",81120,13520,20280,47320,"Toyota","Camry",1995,"N"
"423",8,21,"IN","500/1000",500,1021.9,0,"MALE","High School","handlers-cleaners","hiking","husband",0,0,"Single Vehicle Collision","Front Collision","Major Damage","Other","WV","Columbus",21,1,"?",0,0,"?",91260,14040,14040,63180,"Toyota","Corolla",2012,"N"
"428",91,31,"IN","100/300",1000,1338.4,4000000,"FEMALE","High School","priv-house-serv","polo","own-child",63600,0,"Single Vehicle Collision","Side Collision","Minor Damage","Police","NC","Hillsdale",19,1,"?",1,0,"NO",60570,6730,6730,47110,"Nissan","Maxima",2011,"N"
"429",167,36,"IL","100/300",1000,949.44,0,"FEMALE","Masters","exec-managerial","camping","other-relative",0,-38400,"Multi-vehicle Collision","Rear Collision","Major Damage","Ambulance","NC","Springfield",22,3,"?",0,0,"NO",69680,8710,8710,52260,"Mercedes","ML350",2008,"Y"
"431",264,47,"IN","250/500",2000,1181.46,10000000,"FEMALE","JD","transport-moving","sleeping","other-relative",0,-67400,"Multi-vehicle Collision","Front Collision","Total Loss","Ambulance","OH","Arlington",16,4,"YES",1,2,"YES",62370,5670,5670,51030,"Dodge","Neon",2001,"N"
"432",270,45,"OH","500/1000",500,1187.53,0,"FEMALE","PhD","priv-house-serv","yachting","not-in-family",83200,-53300,"Multi-vehicle Collision","Side Collision","Total Loss","Other","VA","Columbus",23,3,"?",0,0,"YES",54340,9880,0,44460,"Saab","92x",2005,"N"
"433",310,48,"OH","100/300",1000,845.16,0,"FEMALE","Masters","priv-house-serv","base-jumping","other-relative",0,0,"Single Vehicle Collision","Front Collision","Major Damage","Police","NC","Northbend",21,1,"YES",1,0,"NO",55170,6130,6130,42910,"Audi","A5",2005,"Y"
"435",146,32,"OH","100/300",2000,1276.43,0,"MALE","Associate","priv-house-serv","skydiving","own-child",0,0,"Single Vehicle Collision","Rear Collision","Major Damage","Fire","NC","Riverwood",12,1,"?",0,3,"?",59940,6660,6660,46620,"Honda","CRV",1995,"N"
"437",61,23,"IL","100/300",500,1111.72,0,"MALE","JD","exec-managerial","bungie-jumping","other-relative",54600,0,"Single Vehicle Collision","Side Collision","Major Damage","Fire","PA","Riverwood",6,1,"?",1,2,"?",41850,4650,4650,32550,"Suburu","Legacy",1997,"N"
"438",255,44,"OH","500/1000",2000,814.96,6000000,"FEMALE","PhD","priv-house-serv","chess","not-in-family",68500,0,"Parked Car","?","Trivial Damage","Police","NC","Hillsdale",7,1,"?",2,2,"NO",6400,640,1280,4480,"Mercedes","ML350",2005,"Y"
"439",211,40,"IL","500/1000",1000,1575.86,0,"FEMALE","PhD","other-service","sleeping","own-child",0,0,"Vehicle Theft","?","Trivial Damage","Police","WV","Northbrook",3,1,"NO",1,1,"NO",3190,580,290,2320,"Audi","A5",2004,"N"
"442",303,50,"OH","100/300",500,793.15,0,"MALE","MD","tech-support","board-games","own-child",54600,-45500,"Multi-vehicle Collision","Front Collision","Total Loss","Other","WV","Hillsdale",17,3,"NO",0,3,"NO",81960,13660,13660,54640,"Dodge","Neon",2008,"N"
"443",152,33,"IN","250/500",500,942.51,0,"FEMALE","PhD","transport-moving","exercise","wife",0,0,"Single Vehicle Collision","Side Collision","Major Damage","Fire","SC","Hillsdale",16,1,"YES",0,0,"?",70400,6400,19200,44800,"Suburu","Legacy",2001,"Y"
"444",120,34,"IN","500/1000",1000,1056.71,0,"FEMALE","JD","protective-serv","paintball","not-in-family",77900,0,"Parked Car","?","Minor Damage","None","VA","Columbus",3,1,"NO",2,1,"?",3770,580,580,2610,"Jeep","Grand Cherokee",2002,"N"
